condition,animal,idea,mixed,object,unclear,animal_count,idea_count,mixed_count,object_count,unclear_count
imaginary_animal,0.9944444444444445,0.0,0.005555555555555556,0.0,0.0,179,0,1,0,0
imaginary_idea,0.21666666666666667,0.5611111111111111,0.11666666666666667,0.1,0.005555555555555556,39,101,21,18,1
imaginary_object,0.0,0.022222222222222223,0.07222222222222222,0.8944444444444445,0.011111111111111112,0,4,13,161,2
neutral,0.11666666666666667,0.1111111111111111,0.39444444444444443,0.2722222222222222,0.10555555555555556,21,20,71,49,19
real_animal,0.9666666666666667,0.0,0.022222222222222223,0.011111111111111112,0.0,174,0,4,2,0
real_idea,0.0,0.35555555555555557,0.2722222222222222,0.3111111111111111,0.06111111111111111,0,64,49,56,11
real_object,0.0,0.0,0.0,0.9944444444444445,0.005555555555555556,0,0,0,179,1
type_of_animal,0.9555555555555556,0.0,0.044444444444444446,0.0,0.0,172,0,8,0,0
type_of_idea,0.0,0.9277777777777778,0.005555555555555556,0.0,0.06666666666666667,0,167,1,0,12
type_of_object,0.0,0.03888888888888889,0.12777777777777777,0.7222222222222222,0.1111111111111111,0,7,23,130,20
